year;number;IUPAC anionic;IUPAC neutral;CAS anionic;CAS neutral;SMILES anionic;SMILES neutral;HIL;HIL t, nm;HIL, HOMO;HIL, LUMO;HIL_HTL, HOMO;HIL_HTL, LUMO;HTL;HTL tikness, nm;HTL, HOMO;HTL, LUMO;HTL_EML, HOMO;HTL_EML, LUMO;EML tikness, nm;HOMO, anionic lig;LUMO, anionic lig;HOMO, neutral lig;LUMO, neutral lig;HOMO, EML;LUMO, EML;HOMO, EML clc from lig;LUMO, EML clc from lig;EML_Matrix, HOMO;EML_Matrix, LUMO;Matrix;EML/Matrix;EML method;Matrix HOMO;Matrix LUMO;EML_ETL, HOMO;EML_ETL, LUMO;ETL1;ETL1, nm;ETL1, HOMO;ETL1, LUMO;ETL1_ETL2, HOMO;ETL1_ETL2, LUMO;ETL2;ETL2, nm;ETL2, HOMO;ETL2, LUMO;ETL2_EIL, LUMO;EIL;EIL, nm;LUMO;EIL_Cath, LUMO;Cathode1;nm;LUMO;Cathode;nm;LUMO;Max. irradiance, uW/cm2;EQE, %;ECE, uW/W;Uon;t, us;QY, %;HOMO;LUMO;EML hole mobilty, cm2/Vs;EML electron mobility, cm2/Vs;EML total, cm2/Vs;Pixel size, mm2;Doi
2013;Yb-14.1;3-(benzo[d]oxazol-2-yl)naphthalen-2-ol;;14967-45-4;;Oc1cc2ccccc2cc1c3oc4ccccc4n3;;TPD;20;-5.5;-2.3;0.2;-0.7;;;;;0.25;-0.65;40;-5.747319794;-1.648194498;;;;;-5.747319794;-1.648194498;;;;;TVD;;;0.65;1.35;;;;;;;Bphen;20;-6.4;-3;-0.4;;;;-0.4;;;;Yb;150;-2.6;316;0.6;;5;;;;;;;;;10.1007/s11172-013-0051-z
;Yb-14.2;3-(benzo[d]thiazol-2-yl)naphthalen-2-ol;;25389-29-1;;Oc1cc2ccccc2cc1c3sc4ccccc4n3;;TPD;20;-5.5;-2.3;0.2;-0.7;;;;;0.25;-0.65;40;-5.747319794;-1.648194498;;;;;-5.747319794;-1.648194498;;;;;TVD;;;0.65;1.35;;;;;;;Bphen;20;-6.4;-3;-0.4;;;;-0.4;;;;Yb;150;-2.6;889;1.6;;5;;;;;;;;;10.1007/s11172-013-0051-z
2014;Yb-15.1;3-(5-methylbenzo[d]oxazol-2-yl)naphthalen-2-ol;;Not defined;;Cc1ccc2oc(nc2c1)c3cc4ccccc4cc3O;;TPD;20;-5.5;-2.3;-0.7;-0.9;;;;;-0.74;-0.86;50;-5.690447968;-1.609282196;;;-4.765;-1.442;-5.690447968;-1.609282196;;;;;TVD;;;1.64;1.56;;;;;;;Bphen;20;-6.4;-3;-0.4;;;;-0.4;;;;Yb;150;-2.6;315;;820;4.5;;;-4.765;-1.442;;;;;10.1039/C4RA03915G
;Yb-15.2;3-(6-methylbenzo[d]oxazol-2-yl)naphthalen-2-ol;;Not defined;;Cc1ccc2nc(oc2c1)c3cc4ccccc4cc3O;;TPD;20;-5.5;-2.3;-0.8;-1;;;;;-0.79;-0.98;50;-5.690447968;-1.609282196;;;-4.706;-1.32;-5.690447968;-1.609282196;;;;;TVD;;;1.69;1.68;;;;;;;Bphen;20;-6.4;-3;-0.4;;;;-0.4;;;;Yb;150;-2.6;320;;850;4.5;;;-4.706;-1.32;;;;;10.1039/C4RA03915G
2014;Yb-16;2,3,4,5,6-pentafluorophenol;1,10-phenanthroline;771-61-9;66-71-7;Oc1c(F)c(F)c(F)c(F)c1F;c1cnc2c(c1)ccc3cccnc23;TPD;;-5.5;-2.3;0.5;0.2;;;;;0.5117165;0.247786;;-6.717406204;-0.562187524;-6.258622;-1.426421588;-6.0117165;-2.547786;-6.602710153;-0.77824604;;;;;TVD;;;;0.05;;;;;;;;;;;;;;;;;;;Yb;;-2.6;90;;800;4.5;;;;;;;;;10.1039/C3TC32054E
2017;Yb-17.1;2-(benzo[d]oxazol-2-yl)benzenethiol;;Not defined;;Sc1ccccc1c2oc3ccccc3n2;;TPD;20;-5.5;-2.3;0.4;-0.7;;;;;0.417935272;-0.701874478;40;-5.917935272;-1.598125522;;;;;-5.917935272;-1.598125522;;;;;TVD;;;0.48;1.4;;;;;;;Bphen;20;-6.4;-3;-0.4;;;;-0.4;;;;Yb;150;-2.6;860;0.167;;8;;;;;;;;;10.1039/C6DT04519G
;Yb-17.2;2-(benzo[d]thiazol-2-yl)benzenethiol;;Not defined;;Sc1ccccc1c2sc3ccccc3n2;;TPD;20;-5.5;-2.3;0.2;0;;;;;0.1631825;-0.000775;40;-5.917935272;-1.598125522;;;-5.6631825;-2.299225;-5.917935272;-1.598125522;;;;;TVD;;;0.48;1.4;;;;;;;Bphen;20;-6.4;-3;-0.4;;;;-0.4;;;;Yb;150;-2.6;415;0.6;;8;;;;;;;;;10.1039/C6DT04519G
2016;Yb-18;anthracene-9-carboxylic acid;;723-62-6;;OC(=O)c1c2ccccc2cc3ccccc13;;PEDOT:PSS;;-5.2;-2.3;-0.9;0.2;;;;;-0.93;0.17;30;-5.640106878;-2.16874858;;;-4.266;-2.469;-5.640106878;-2.16874858;;;;;SC;;;2.53;0.23;;;;;;;TPBi;10;-6.8;-2.7;1.5;;;;1.5;;;;Al;;-4.2;;;;;52;1.5;-4.266;-2.469;;;;;10.1039/c6tc03586h
;Yb-18;anthracene-9-carboxylic acid;;723-62-6;;OC(=O)c1c2ccccc2cc3ccccc13;;PEDOT:PSS;;-5.2;-2.3;-0.9;0.2;;;;;-0.93;0.17;30;-5.640106878;-2.16874858;;;-4.266;-2.469;-5.640106878;-2.16874858;;;;;SC;;;2.03;0.23;;;;;;;TAZ;;-6.3;-2.7;1.5;;;;1.5;;;;Al;;-4.2;;0.14;;;52;1.5;-4.266;-2.469;;;;;10.1039/c6tc03586h
;Yb-18;anthracene-9-carboxylic acid;;723-62-6;;OC(=O)c1c2ccccc2cc3ccccc13;;PEDOT:PSS;;-5.2;-2.3;-0.9;0.2;;;;;-0.93;0.17;30;-5.640106878;-2.16874858;;;-4.266;-2.469;-5.640106878;-2.16874858;;;;;SC;;;2.03;0.23;;;;;;;TAZ;;-6.3;-2.7;0.28;;;;0.28;Ca;5;-2.98;Al;;-4.2;15.12;0.21;;5;52;1.5;-4.266;-2.469;;;;;10.1039/c6tc03586h
2019;Yb-19;(E)-N-(2-((2-isonicotinoylhydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2/C=N/NC(=O)c3ccncc3;;PEDOT:PSS;50;-5.2;-2.3;0.6;-0.1;PVK;13;-5.8;-2.2;0.4527745;0.4623575;29;-6.172633976;-1.801666794;;;-6.2527745;-2.6623575;-6.172633976;-1.801666794;;;;;SC;;;0.63;0.9;;;;;;;TPBi;11;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;43;-4.2;8.25;0.02;;5;12;0.9;;;;;;12;10.1021/acs.chemmater.8b03675
2022;Yb-20.1;(E)-N-(2-((2-benzoylhydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2/C=N/NC(=O)c3ccccc3;;PEDOT:PSS;50;-5.2;-2.3;0.6;-0.1;PVK;15;-5.8;-2.2;-0.67;0.43;31;-6.172633976;-1.801666794;;;-5.129;-2.633;-6.172633976;-1.801666794;;;;;SC;;;1.67;0.07;;;;;;;TPBi;13;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;;-4.2;6.5;0.04;82;4.8;12;1.4;-5.129;-2.633;2.62E-06;6.89E-07;;12;10.1039/D1DT04033B
;Yb-20.1;(E)-N-(2-((2-benzoylhydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2/C=N/NC(=O)c3ccccc3;;PEDOT:PSS;50;-5.2;-2.3;0;0;poly-TPD;15;-5.2;-2.3;-0.07;0.33;31;-6.172633976;-1.801666794;;;-5.129;-2.633;-6.172633976;-1.801666794;;;;;SC;;;1.37;0.37;;;;;;;OXD-7;13;-6.5;-3;0.6;LiF;1;-3.6;0.6;;;;Al;;-4.2;2;0.02;54;3.8;12;1.4;-5.129;-2.633;2.68E-06;1.69E-06;;12;10.1039/D1DT04033B
;Yb-20.1;(E)-N-(2-((2-benzoylhydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2/C=N/NC(=O)c3ccccc3;;PEDOT:PSS;50;-5.2;-2.3;0;0;poly-TPD;15;-5.2;-2.3;-0.07;0.33;31;-6.172633976;-1.801666794;;;-5.129;-2.633;-6.172633976;-1.801666794;;;;;SC;;;1.67;0.07;;;;;;;TPBi;13;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;;-4.2;2.5;0.025;79;3.8;12;1.4;-5.129;-2.633;;;;12;10.1039/D1DT04033B
;Yb-20.2;(E)-N-(2-((2-(2-naphthoyl)hydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2/C=N/NC(=O)c3ccc4ccccc4c3;;PEDOT:PSS;50;-5.2;-2.3;0.6;-0.1;PVK;15;-5.8;-2.2;-0.66;0.45;23;-5.878750856;-1.951329494;;;-5.138;-2.65;-5.878750856;-1.951329494;;;;;SC;;;1.66;0.05;;;;;;;TPBi;13;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;;-4.2;4;0.0003;93;3.9;10;0.5;-5.138;-2.65;;;;12;10.1039/D1DT04033B
;Yb-20.2;(E)-N-(2-((2-(2-naphthoyl)hydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2/C=N/NC(=O)c3ccc4ccccc4c3;;PEDOT:PSS;50;-5.2;-2.3;0.6;-0.1;PVK;15;-5.8;-2.2;-0.66;0.45;23;-5.878750856;-1.951329494;;;-5.138;-2.65;-5.878750856;-1.951329494;;;;;SC;;;1.36;0.35;;;;;;;OXD-7;13;-6.5;-3;0.6;LiF;1;-3.6;0.6;;;;Al;;-4.2;10;0.12;441;3.4;10;0.5;-5.138;-2.65;;;;12;10.1039/D1DT04033B
;Yb-20.1;(E)-N-(2-((2-benzoylhydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2/C=N/NC(=O)c3ccccc3;;PEDOT:PSS;50;-5.2;-2.3;0.6;-0.1;PVK;15;-5.8;-2.2;-0.67;0.43;31;-6.172633976;-1.801666794;;;-5.129;-2.633;-6.172633976;-1.801666794;;;;;SC;;;1.37;0.37;;;;;;;OXD-7;13;-6.5;-3;0.6;LiF;1;-3.6;0.6;;;;Al;;-4.2;8;0.14;376;4.2;12;1.4;-5.129;-2.633;;;;12;10.1039/D1DT04033B
2022;Yb-21.1;(E)-N-(2-((2-(2-fluorobenzoyl)hydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2/C=N/NC(=O)c3ccccc3F;;PEDOT-PSS;50;-5.2;-2.3;0;0;poly-TPD;20;-5.2;-2.3;0.64;0.76;30;-6.13344956;-1.706426894;;;-5.839;-3.057;-6.13344956;-1.706426894;;;;;SC;;;0.66;-0.06;;;;;;;OXD-7;13;-6.5;-3;0.6;LiF;1;-3.6;0.6;;;;Al ;100;-4.2;7.5;0.035;113;4;133;0.94;-5.839;-3.057;9.34E-05;6.06E-05;;12;10.1039/D1TC04600D
;Yb-21.2;(E)-N-(2-((2-(2-chlorobenzoyl)hydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2/C=N/NC(=O)c3ccccc3Cl;;PEDOT-PSS;50;-5.2;-2.3;0;0;poly-TPD;20;-5.2;-2.3;0.63;0.9;30;-6.0545365;-1.590778444;;;-5.827;-3.195;-6.0545365;-1.590778444;;;;;SC;;;0.67;-0.2;;;;;;;OXD-7;13;-6.5;-3;0.6;LiF;1;-3.6;0.6;;;;Al ;100;-4.2;17;0.06;188;4.5;142;0.91;-5.827;-3.195;6.47E-05;6.08E-05;;12;10.1039/D1TC04600D
;Yb-21.3;(E)-N-(2-((2-(2-bromobenzoyl)hydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2/C=N/NC(=O)c3ccccc3Br;;PEDOT-PSS;50;-5.2;-2.3;0;0;poly-TPD;20;-5.2;-2.3;0.69;0.95;30;-6.18379065;-1.704249982;;;-5.891;-3.247;-6.18379065;-1.704249982;;;;;SC;;;0.61;-0.25;;;;;;;OXD-7;13;-6.5;-3;0.6;LiF;1;-3.6;0.6;;;;Al ;100;-4.2;7;0.12;429;4.5;144;0.95;-5.891;-3.247;1.55E-04;1.01E-04;;12;10.1039/D1TC04600D
;Yb-21.4;(E)-N-(2-((2-(2-iodobenzoyl)hydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2/C=N/NC(=O)c3ccccc3I;;PEDOT-PSS;50;-5.2;-2.3;0;0;poly-TPD;20;-5.2;-2.3;0.72;0.89;30;-6.439257;-1.510786;;;-5.924;-3.185;-6.439257;-1.510786;;;;;SC;;;0.58;-0.19;;;;;;;OXD-7;13;-6.5;-3;0.6;LiF;1;-3.6;0.6;;;;Al ;100;-4.2;4;0.07;245;4.5;139;1.02;-5.924;-3.185;8.36E-05;2.25E-04;;12;10.1039/D1TC04600D
2022;Yb-22;(E)-N-(2-((2-(benzo[d]thiazole-2-carbonyl)hydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2/C=N/NC(=O)c3sc4ccccc4n3;;PEDOT:PSS;50;-5.2;-2.3;0;0;poly-TPD;20;-5.2;-2.3;0.8;2.5;30;-5.855076938;-1.972010158;;;-6;-4.8;-5.855076938;-1.972010158;;;;;SC;;;0.5;-1.8;;;;;;;OXD-7;13;-6.5;-3;0.6;LiF;1;-3.6;0.6;;;;Al;100;-4.2;9;0.025;;4;14;0.9;-6;-4.8;4.94E-07;2.33E-06;;12;10.1016/j.orgel.2022.106492
2022;Yb-23.1;(E)-N-(2-((2-benzoylhydrazono)methyl)-4-bromophenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccc(Br)cc2/C=N/NC(=O)c3ccccc3;;PEDOT:PSS;50;-5.2;-2.3;0;0;poly-TPD;20;-5.2;-2.3;0.741193;0.244958;30;-6.14025241;-1.797585084;;;-5.941193;-2.544958;-6.14025241;-1.797585084;;;;;SC;;;0.56;0.46;;;;;;;OXD-7;15;-6.5;-3;0.6;LiF;1;-3.6;0.6;;;;Al;100;-4.2;7;;110;4;12.4;0.5;;;;;;12;10.1016/j.jlumin.2021.118702
;Yb-23.2;(E)-N-(4-bromo-2-((2-(2-fluorobenzoyl)hydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccc(Br)cc2\C=N\NC(=O)c3ccccc3F;;PEDOT:PSS;50;-5.2;-2.3;0;0;poly-TPD;20;-5.2;-2.3;0.7669445;0.26604;30;-6.31984765;-1.904798;;;-5.9669445;-2.56604;-6.31984765;-1.904798;;;;;SC;;;0.53;0.43;;;;;;;OXD-7;15;-6.5;-3;0.6;LiF;1;-3.6;0.6;;;;Al;100;-4.2;2;;70;3;9.2;1.3;;;;;;12;10.1016/j.jlumin.2021.118702
;Yb-23.3;(E)-N-(4-bromo-2-((2-(2-iodobenzoyl)hydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccc(Br)cc2\C=N\NC(=O)c3ccccc3I;;PEDOT:PSS;50;-5.2;-2.3;0;0;poly-TPD;20;-5.2;-2.3;1.36;-0.61;30;-6.559168;-1.68701;;;;;-6.559168;-1.68701;;;;;SC;;;-0.06;1.31;;;;;;;OXD-7;15;-6.5;-3;0.6;LiF;1;-3.6;0.6;;;;Al;100;-4.2;8;;80;5;11.4;1.9;;;;;;12;10.1016/j.jlumin.2021.118702
2024;Yb-24.1;(E)-N-(2-((2-(furan-2-carbonyl)hydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2/C=N/NC(=O)c3occc3;;PEDOT:PSS;50;-5.2;-2.3;0;0;poly-TPD;20;-5.2;-2.3;0.622737;-0.2125575;26;-6.029774126;-1.762210264;;;-5.822737;-2.0874425;-6.029774126;-1.762210264;;;;;SC;;;0.98;0.61;;;;;;;TPBi;20;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;100;-4.2;0.2;;15;5;10;0.9;;;;;;12;10.1016/j.optmat.2023.114793
;Yb-24.2;(E)-4-methyl-N-(2-((2-(thiophene-2-carbonyl)hydrazono)methyl)phenyl)benzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2\C=N\NC(=O)c3sccc3;;PEDOT:PSS;50;-5.2;-2.3;0;0;poly-TPD;20;-5.2;-2.3;0.644624;-0.175574;26;-6.029774126;-1.762210264;;;-5.844624;-2.124426;-6.029774126;-1.762210264;;;;;SC;;;0.96;0.58;;;;;;;TPBi;20;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;100;-4.2;;;;;10;1;;;;;;12;10.1016/j.optmat.2023.114793
2024;Yb-25.1;(E)-N-(2-((2-(4-(diphenylamino)benzoyl)hydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2/C=N/NC(=O)c3ccc(cc3)N(c4ccccc4)c5ccccc5;;PEDOT:PSS;50;-5.2;-2.3;0;0;poly-TPD;20;-5.2;-2.3;0.3264105;-0.208664;30;-5.132342154;-1.618534072;;;-5.5264105;-2.091336;-5.132342154;-1.618534072;;;;;SC;;;1.27;0.61;;;;;;;TPBi;20;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;100;-4.2;4.5;3.50E-02;110;3.5;;0.2;;;;;;12;
;Yb-25.2;(E)-4-methyl-N-(2-((2-(5-phenyl-1,3,4-oxadiazole-2-carbonyl)hydrazono)methyl)phenyl)benzenesulfonamide;;Not defined;;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2\C=N\NC(=O)c3oc(nn3)c4ccccc4;;PEDOT:PSS;50;-5.2;-2.3;0;0;poly-TPD;20;-5.2;-2.3;0.8917955;0.0205175;8.5;-6.316582282;-1.975819754;;;-6.0917955;-2.3205175;-6.316582282;-1.975819754;;;;;SC;;;0.71;0.38;;;;;;;TPBi;20;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;100;-4.2;;;;4;;0.3;;;;;;12;
;Yb-25.3;(E)-N-(2-((2-(4-(diphenylamino)benzoyl)hydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;(E)-4-methyl-N-(2-((2-(5-phenyl-1,3,4-oxadiazole-2-carbonyl)hydrazono)methyl)phenyl)benzenesulfonamide;Not defined;Not defined;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2/C=N/NC(=O)c3ccc(cc3)N(c4ccccc4)c5ccccc5;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2\C=N\NC(=O)c3oc(nn3)c4ccccc4;PEDOT:PSS;50;-5.2;-2.3;0;0;poly-TPD;20;-5.2;-2.3;0.3507505;0.032355;22.8;-5.132342154;-1.618534072;-6.316582282;-1.975819754;-5.5507505;-2.332355;-5.724462218;-1.797176913;;;;;SC;;;1.25;0.37;;;;;;;TPBi;20;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;100;-4.2;16;4.50E-02;140;4;;0.8;;;;;;12;
;Yb-25.1+ Yb-25.2;(E)-N-(2-((2-(4-(diphenylamino)benzoyl)hydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;(E)-4-methyl-N-(2-((2-(5-phenyl-1,3,4-oxadiazole-2-carbonyl)hydrazono)methyl)phenyl)benzenesulfonamide;Not defined;Not defined;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2/C=N/NC(=O)c3ccc(cc3)N(c4ccccc4)c5ccccc5;Cc1ccc(cc1)[S](=O)(=O)Nc2ccccc2\C=N\NC(=O)c3oc(nn3)c4ccccc4;PEDOT:PSS;50;-5.2;-2.3;0;0;poly-TPD;20;-5.2;-2.3;0.3304885;-0.102212;22.8;-5.132342154;-1.618534072;-6.316582282;-1.975819754;-5.5304885;-2.197788;-5.724462218;-1.797176913;;;;;SC;;;1.27;0.5;;;;;;;TPBi;20;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;100;-4.2;;;;3;;0.25;;;;;;12;
2024;Yb-26;(E)-N-(2-((2-(5a1,10-dihydropyrene-1-carbonyl)hydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;O=S(=O)(Nc(ccc1)c(c1)C=NNC(=O)c(cc1)c(cc2)c(c1cc1)c(c2cc2)c1c2)c(ccc1C)cc1;;PEDOT:PSS;50;-5.2;-2.3;0;0;poly-TPD;20;-5.2;-2.3;0.47;0.33;24;-5.349489126;-1.849558858;;;-5.67;-2.63;-5.349489126;-1.849558858;;;;;SC;;;1.13;0.07;;;;;;;TPBi;20;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;100;-4.2;15;0.01;30;5;10.1;0.28;-5.67;-2.63;;;;12;10.1016/j.inoche.2024.113636
2024;Yb-26;(E)-N-(2-((2-(5a1,10-dihydropyrene-1-carbonyl)hydrazono)methyl)phenyl)-4-methylbenzenesulfonamide;;Not defined;;O=S(=O)(Nc(ccc1)c(c1)C=NNC(=O)c(cc1)c(cc2)c(c1cc1)c(c2cc2)c1c2)c(ccc1C)cc1;;PEDOT:PSS;50;-5.2;-2.3;0.6;-0.1;PVK;20;-5.8;-2.2;-0.13;0.43;24;-5.349489126;-1.849558858;;;-5.67;-2.63;-5.349489126;-1.849558858;;;;;SC;;;1.13;0.07;;;;;;;TPBi;20;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;100;-4.2;14;0.008;7;9;10.1;0.28;-5.67;-2.63;;;;12;10.1016/j.inoche.2024.113636
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;54;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62.5%;75.0%;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
