year;number;IUPAC anionic;IUPAC neutral;CAS anionic;CAS neutral;SMILES anionic;SMILES neutral;HIL;HIL t, nm;HIL, HOMO;HIL, LUMO;HIL_HTL, HOMO;HIL_HTL, LUMO;HTL;HTL tikness, nm;HTL, HOMO;HTL, LUMO;HTL_EML, HOMO;HTL_EML, LUMO;EML tikness, nm;HOMO;LUMO;EML_Matrix, HOMO;EML_Matrix, LUMO;Matrix;EML/Matrix;EML method;Matrix HOMO;Matrix LUMO;EML_ETL, HOMO;EML_ETL, LUMO;ETL1;ETL1, nm;ETL1, HOMO;ETL1, LUMO;ETL1_ETL2, HOMO;ETL1_ETL2, LUMO;ETL2;ETL2, nm;ETL2, HOMO;ETL2, LUMO;ETL2_EIL, LUMO;EIL;EIL, nm;LUMO;EIL_Cath, LUMO;Cathode1;nm;LUMO;Cathode;nm;LUMO;Max. irradiance, uW/cm2;EQE, %;ECE, uW/W;Uon;t, us;QY, %;HOMO;LUMO;Method (HOMO/LUMO);EML hole mobilty, cm2/Vs;EML electron mobility, cm2/Vs;EML total, cm2/Vs;Method of EML mobility measurements;Pixel size, mm2;Doi
;;1,3-diphenylpropane-1,3-dione;(oxybis(4,1-phenylene))bis(diphenylphosphine oxide);120-46-7;808142-23-6;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;O=[P](c1ccccc1)(c2ccccc2)c3ccccc3Oc4ccccc4[P](=O)(c5ccccc5)c6ccccc6;a-NPD;30;-5.4;-2.4;0.5;0;mCP;10;-5.9;-2.4;0.2;-0.4;60;;;;;DPEPO;1;TVD;-6.1;-2;0;0;DPEPO;10;-6.1;-2;0.7;0.7;TPBi;40;-6.8;-2.7;0.9;LiF;0.8;-3.6;0.6;;;;Al;100;-4.2;1.5;0.15;;5;42.6;0.4;;;;;;;;;10.1039/C7CC01580A
;;1,3-diphenylpropane-1,3-dione;water;120-46-7;7732-18-5;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;O;a-NPD;30;-5.4;-2.4;0.5;0;mCP;10;-5.9;-2.4;;;60;;;;;;;TVD;;;;;DPEPO;10;-6.1;-2;0.7;0.7;TPBi;40;-6.8;-2.7;0.9;LiF;0.8;-3.6;0.6;;;;Al;100;-4.2;0.72;0.09;;4;42.6;0.4;;;;;;;;;10.1039/C7CC01580A
2014;Yb-6;2-benzoyl-1,3-diphenylpropane-1,3-dione;;641-44-1;;O=C(C(C(=O)c1ccccc1)C(=O)c2ccccc2)c3ccccc3;;MoO3;2;-5.3;-2.3;0.6;0.1;mCP;60;-5.9;-2.4;0;0;30;;;;;mCP;1;TVD;-5.9;-2.4;0.9;0.3;;;;;;;TPBi;25;-6.8;-2.7;0.9;LiF;0.5;-3.6;0.6;;;;Al;100;-4.2;390;0.17;;6;47;3.9;;;;;;;;;10.1039/C4CC04961F
2021;Yb-7.1;4,4,4-trifluoro-1-(naphthalen-2-yl)butane-1,3-dione;1,10-phenanthroline;893-33-4;66-71-7;FC(F)(F)C(=O)CC(=O)c1ccc2ccccc2c1;c1cnc2c(c1)ccc3cccnc23;PEDOT:PSS;40;-5.2;-2.3;0.6;-0.1;PVK;35;-5.8;-2.2;0.42;1.14;40;-6.22;-3.34;;;;;TVD;;;0.58;-0.64;;;;;;;TPBi;18;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;40;-4.2;;0.042;;5;11;3.2;-6.22;-3.34;CV;;;;;;10.3103/S1068335621050055
2021;;4,4,4-trifluoro-1-(naphthalen-2-yl)butane-1,3-dione;1,10-phenanthroline;893-33-4;66-71-7;FC(F)(F)C(=O)CC(=O)c1ccc2ccccc2c1;c1cnc2c(c1)ccc3cccnc23;PEDOT:PSS;40;-5.2;-2.3;0.6;-0.1;PVK;35;-5.8;-2.2;0.42;1.14;40;-6.22;-3.34;;;;;TVD;;;0.58;-0.64;;;;;;;TPBi;18;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;40;-4.2;11;;;;;;-6.22;-3.34;CV;;;;;;10.1016/j.dyepig.2021.109701
;Yb-7.2;4,4,4-trifluoro-1-(naphthalen-1-yl)butane-1,3-dione;1,10-phenanthroline;7639-68-1;66-71-7;FC(F)(F)C(=O)CC(=O)c1cccc2ccccc12;c1cnc2c(c1)ccc3cccnc23;PEDOT:PSS;40;-5.2;-2.3;0.6;-0.1;PVK;35;-5.8;-2.2;0.38;1.14;40;-6.18;-3.34;;;;;TVD;;;0.62;-0.64;;;;;;;TPBi;18;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;40;-4.2;30;0.032;;8;8.83;2.2;-6.18;-3.34;CV;;;;;;10.1016/j.dyepig.2021.109701
2022;Yb-8.1;5-methyl-2-phenyl-4-(2,2,2-trifluoroacetyl)-2,4-dihydro-3H-pyrazol-3-one;1,10-phenanthroline;Not defined;66-71-7;CC1=NN(c2ccccc2)C(=O)C1C(=O)C(F)(F)F;c1cnc2c(c1)ccc3cccnc23;MoO3;1;-5.3;-2.3;0.2;0.1;NPB;40;-5.5;-2.4;0;0.4;20;;;;;Bebq2;1;TVD;-5.5;-2.8;0;0;;;;;;;Bebq2;40;-5.5;-2.8;0.8;LiF;1.2;-3.6;0.6;;;;Al;40;-4.2;2;;;5.5;;;;;;;;;;12;10.1007/s10853-021-06721-4
;Yb-8.2;5-methyl-2-phenyl-4-(2,2,2-trifluoroacetyl)-2,4-dihydro-3H-pyrazol-3-one;2,2'-bipyridine;Not defined;366-18-7;CC1=NN(c2ccccc2)C(=O)C1C(=O)C(F)(F)F;c1ccc(nc1)c2ccccn2;MoO3;1;-5.3;-2.3;0.2;0.1;NPB;40;-5.5;-2.4;0;0.4;20;;;;;Bebq2;1;TVD;-5.5;-2.8;0;0;;;;;;;Bebq2;40;-5.5;-2.8;0.8;LiF;1.2;-3.6;0.6;;;;Al;40;-4.2;1.8;;;5.5;;;;;;;;;;12;10.1007/s10853-021-06721-4
;Yb-8.3;5-methyl-2-phenyl-4-(2,2,2-trifluoroacetyl)-2,4-dihydro-3H-pyrazol-3-one;4,7-diphenyl-1,10-phenanthroline;Not defined;1662-01-7;CC1=NN(c2ccccc2)C(=O)C1C(=O)C(F)(F)F;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;MoO3;1;-5.3;-2.3;0.2;0.1;NPB;40;-5.5;-2.4;0;0.4;20;;;;;Bebq2;1;TVD;-5.5;-2.8;0;0;;;;;;;Bebq2;40;-5.5;-2.8;0.8;LiF;1.2;-3.6;0.6;;;;Al;40;-4.2;2.2;;;5;;;;;;;;;;12;10.1007/s10853-021-06721-4
2023;Yb-9.1;1,3-diphenylpropane-1,3-dione;4,7-diphenyl-1,10-phenanthroline;120-46-7;1662-01-7;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;PEDOT-PSS;40;-5.2;-2.3;0;0;poly-TPD;15;-5.2;-2.3;0.8;0.6;40;;;;;CBP;0.33;SP;-6;-2.9;0.8;-0.2;;;;;;;TPBi;15;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;100;-4.2;12;;9;5.5;8.7;0.5;;;;;;;;12;10.1021/acsaom.3c00124
;Yb-9.2;1,3-diphenylpropane-1,3-dione;4,7-diphenyl-1,10-phenanthroline;120-46-7;1662-01-7;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;PEDOT-PSS;40;-5.2;-2.3;0;0;poly-TPD;15;-5.2;-2.3;0.8;0.6;40;;;;;CBP;0.33;SP;-6;-2.9;0.8;-0.2;;;;;;;TPBi;15;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;100;-4.2;13;;9.8;6;8.1;0.6;;;;;;;;12;10.1021/acsaom.3c00124
;Yb-9.3;1,3-diphenylpropane-1,3-dione;4,7-diphenyl-1,10-phenanthroline;120-46-7;1662-01-7;c1ccc(cc1)C(=O)CC(=O)c2ccccc2;c1ccc(cc1)-c2c3c(ncc2)c4c(cc3)c(cnc4)-c5ccccc5;PEDOT-PSS;40;-5.2;-2.3;0;0;poly-TPD;15;-5.2;-2.3;0.8;0.6;40;;;;;CBP;0.33;SP;-6;-2.9;0.8;-0.2;;;;;;;TPBi;15;-6.8;-2.7;0.9;LiF;1;-3.6;0.6;;;;Al;100;-4.2;19;;9.6;6;7.8;0.8;;;;;;;;12;10.1021/acsaom.3c00124
2024;Yb-10;4,4,4-trifluoro-1-phenylbutane-1,3-dione;4,4'-dinonyl-2,2'-bipyridine;;;;;HAT-CN;10;-9.62;-5.42;-4.1;-3.1;TSBPA/mCP;40+2;-5.51;-2.3;0.39;0.1;20;;;;;mCP:TPBi(6:4);0.2;TVD;-5.9;-2.4;0.9;0.3;;;;;;;TPBi;50;-6.8;-2.7;0.9;LiF;0.8;-3.6;0.6;;;;Al;100;-4.2;121;0.1;;4;;;;;;;;;;8;10.1039/D4TC00902A
;;4,4,4-trifluoro-1-phenylbutane-1,3-dione;4,4'-dinonyl-2,2'-bipyridine;;;;;HAT-CN;10;-9.62;-5.42;-4.1;-3.1;TSBPA;40;-5.51;-2.3;;;10;;;;;;;TVD;;;;;PO-T2T;20;-7.55;-3.5;-0.75;-0.8;TPBi;30;-6.8;-2.7;0.9;LiF;0.8;-3.6;0.6;;;;Al;100;-4.2;9;0.17;;4.5;;;;;;;;;;8;10.1039/D4TC00902A
2011;Yb-11.1;2-(benzo[d]oxazol-2-yl)phenol;;835-64-3;;Oc1ccccc1c2oc3ccccc3n2;;TPD;20;-5.5;-2.3;;;;;;;;;50;;;;;;;TVD;;;;;;;;;;;Bphen;20;-6.4;-3;;;;;;;;;Yb;150;-2.6;154;;530;8;;;;;;;;;;;10.1039/c1jm13023d
;Yb-11.2;2-(benzo[d]thiazol-2-yl)phenol;;3411-95-8;;Oc1ccccc1c2sc3ccccc3n2;;TPD;20;-5.5;-2.3;;;;;;;;;50;;;;;;;TVD;;;;;;;;;;;Bphen;20;-6.4;-3;;;;;;;;;Yb;150;-2.6;286;;1220;6;;;;;;;;;;;10.1039/c1jm13023d
2013;Yb-12;quinolin-8-ol;;148-24-3;;Oc1cccc2cccnc12;;TPD;20;-5.5;-2.3;-1;-0.4;;;;;-1.02;-0.35;50;-4.479;-1.946;;;;;TVD;;;1.92;1.05;;;;;;;Bphen;20;-6.4;-3;;;;;;;;;Yb;150;-2.6;50;;44;9.5;10;1.6;-4.479;-1.946;B3LYP/DZVP;;;;;25;10.1039/c3dt51706c
2013;Yb-13;6-(pyridin-2-yl)-1,5-naphthyridin-4-ol;;Not defined;;Oc1ccnc2ccc(nc12)c3ccccn3;;NPB;50;-5.2;-2.4;0.4;0.4;;;;;0.4;0.4;20;-5.6;-2.8;0.4;0.1;CBP;0.13;TVD;-6;-2.9;1.1;0.1;;;;;;;BCP;35;-6.7;-2.9;0.7;LiF;1;-3.6;0.6;;;;Al;100;-4.2;86;0.14;;5;;0.9;-5.6;-2.8;CV;;;;;;10.1039/c3dt50778e
2013;Yb-14.1;3-(benzo[d]oxazol-2-yl)naphthalen-2-ol;;14967-45-4;;Oc1cc2ccccc2cc1c3oc4ccccc4n3;;TPD;20;-5.5;-2.3;;;;;;;;;40;;;;;;;TVD;;;;;;;;;;;Bphen;20;-6.4;-3;;;;;;;;;Yb;150;-2.6;316;0.6;;5;;;;;;;;;;;10.1007/s11172-013-0051-z
;Yb-14.2;3-(benzo[d]thiazol-2-yl)naphthalen-2-ol;;25389-29-1;;Oc1cc2ccccc2cc1c3sc4ccccc4n3;;TPD;20;-5.5;-2.3;;;;;;;;;40;;;;;;;TVD;;;;;;;;;;;Bphen;20;-6.4;-3;;;;;;;;;Yb;150;-2.6;889;1.6;;5;;;;;;;;;;;10.1007/s11172-013-0051-z
2014;Yb-15.1;3-(5-methylbenzo[d]oxazol-2-yl)naphthalen-2-ol;;Not defined;;Cc1ccc2oc(nc2c1)c3cc4ccccc4cc3O;;TPD;20;-5.5;-2.3;-0.7;-0.9;;;;;-0.74;-0.86;50;-4.765;-1.442;;;;;TVD;;;1.64;1.56;;;;;;;Bphen;20;-6.4;-3;;;;;;;;;Yb;150;-2.6;315;;820;4.5;;;-4.765;-1.442;B3LYP/DZVP;;;;;;10.1039/C4RA03915G
